Name	Localizaton Name	Video Source	Short?	Veto	Counter-Veto	Net vote	Vetoed?	Veto Time
Kami-tachi ni Hirowareta Otoko	By the Grace of the Gods	Funimation				0		
Magatsu Wahrheit: ZUERST	MAGATSU WAHRHEIT	Funimation				0		
Rail Romanesque		Crunchyroll	Y			0		
Tonikaku Kawaii	TONIKAWA: Over The Moon For You	Crunchyroll				0		
Inu to Neko Docchi mo Katteru to Mainichi Tanoshii	With a Dog AND a Cat, Every Day is Fun	Crunchyroll	Y			0		
Majo no Tabitabi	Wandering Witch: The Journey of Elaina	Funimation				0		
Dragon Quest: Dai no Daibouken	Dragon Quest: The Adventure of Dai	Crunchyroll				0		
Senyoku no Sigrdrifa	Warlords of Sigrdrifa	Funimation				0		
Hanyou no Yashahime	Yashahime: Princess Half-Demon	Crunchyroll				0		
Maesetsu!	Maesetsu! Opening Act	Funimation				0		
Higurashi no Naku Koro ni (2020)	Higurashi: When They Cry - NEW	Funimation				0		
Iwa Kakeru! Sport Climbing Girls	Iwakakeru - Sport Climbing Girls	Crunchyroll				0		
Taisou Zamurai	The Gymnastics Samurai	Funimation				0		
Kamisama ni Natta hi	The Day I Became a God	Funimation				0		
Munou na Nana	Talentless Nana	Funimation				0		
King's Raid: Ishi wo Tsugumono-tachi	KING's RAID: Successors of the Will	Funimation				0		
BURN THE WITCH		Crunchyroll				0		
Jujutsu Kaisen		Crunchyroll				0		
Adachi to Shimamura	Adachi and Shimamura	Funimation				0		
Dogeza de Tanondemita	<DOGEZA>I Tried Asking While Kowtowing.	Crunchyroll	Y			0		
Akudama Drive		Funimation				0		
Sore dake ga Neck	That is the Bottleneck	Crunchyroll	Y			0		
Noblesse		Crunchyroll				0		
Ochikobore Fruit Tart	Dropout Idol Fruit Tart	Funimation				0		
Ikebukuro West Gate Park		Funimation				0		
Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen	Our Last Crusade or the Rise of a New World	Funimation				0		
Kapibara-san	KAPIBARASAN	Crunchyroll	Y			0		
100-man no Inochi no Ue ni Ore wa Tatteiru	I'm Standing on a Million Lives	Crunchyroll				0		
Love Live! Nijigasaki Gakuen School Idol Doukoukai	Love Live! Nijigasaki High School Idol Club	Funimation				0		
Kuma Kuma Kuma Bear		Funimation				0		
Yuukoku no Moriarty	Moriarty the Patriot	Funimation				0		
Hypnosis Mic: Division Rap Battle - Rhyme Anima		Funimation				0		
Assault Lily: BOUQUET	Assault Lily BOUQUET	Funimation				0		
Maou-jou de Oyasumi	Sleepy Princess in the Demon Castle	Funimation				0		
